scenario_id,split_type,category,list_price,buyer_target,seller_target,title,description,price_delta_pct,relative_price,title_token_count,description_length,data_completeness,price_confidence,has_images
train_00000,train,electronics,10.0,7.0,10.0,Verizon Car Charger with Dual Output Micro USB and LED Light,Charge two devices simultaneously on the go. This vehicle charger with an additional USB port delivers enough power to charge two devices at once. The push-button activated LED connector light means no more fumbling in the dark trying to connect your device. Auto Detect IC Technology automatically detects the device type and its specific charging needs for improved compatibility. And the built-in indicator light illuminates red to let you know the charger is receiving power and the power socket is working properly.,0.3,0.1,11,520,1.0,True,True
train_00001,train,vehicles,200.0,120.0,200.0,Long board custom bilt from the board up,Hey there cl I have a long board for sale pretty much brand knew rode all together 4 or 5 times . The brand on the deck is a gravity skateboard. The brand of trucks are sidewinder 2sGuwuing.mini monster hawgs 70mm 78a Wheels with Swiss bones bearings brand new. Please no low ballers thank you and have a great day .,0.4,0.1343183344526528,8,316,1.0,True,True
train_00002,train,housing,3200.0,1920.0,3200.0,A 4 bedroom single family house for rent in central Fremont,"This is a single family house in an excellent condition. It will be available for move-in on July 2017. It's in a very nice and quiet community with great school district. Email me for viewing or further information. Thanks.,Huge living room and family room, plus 4 spacious bedrooms,2 generous bathrooms with bathtubs,Great school district (Oliveira elementary, Thornton junior high, American high),Few mins drive to Bart and Lucky and 99 Supermarkets",0.4,1.4222222222222223,11,452,1.0,True,True
train_00003,train,furniture,585.0,444.0,585.0,Sectional Couch,I am remodeling my space and selling a beautiful custom modern terra cotta color sectional couch. It is in like-new condition and can be taken apart in two pieces while transporting. Absolutely no wear or tear in a non-smoking home. I am located in the Sunset district of SF. Please email if you are interested in seeing it. Thank you!,0.24102564102564103,4.68,2,335,1.0,True,True
train_00004,train,furniture,1000.0,600.0,1000.0,Beautiful Cherry Hutch,"MUST SEE!!!,Like new ! - making space in our Designer Showroom - Must go, must go!!!,Perfect for interiors, bonus room, office, special storage - make us a deal!",0.4,8.0,3,161,1.0,True,True
train_00005,train,furniture,18.0,10.0,18.0,Office Client Waiting Room CHAIRS,"Still sturdy and good, average condition. Some small tear on some by being placed against wall, but doesnt show much",0.4444444444444444,0.144,5,116,1.0,True,True
train_00006,train,vehicles,14500.0,8700.0,14500.0,2006 Toyota 4Runner 4WD - Only 106k Miles - Clean Title,"Selling my 2006 Toyota 4 Runner with only 106k original miles. The truck is in great condition with no mechanical flaws whatsoever and a clean accident history. Got new tires about 3,000 miles ago. Always has the oil changed on time (due in about 1k). Just got a thorough cleaning inside and a wash and wax outside (still wet in the photos). This truck has never been offroad, but the 4WD is working perfectly from the few times we've been up to Tahoe in it. However, it's a 10+ year old truck that's been driven, not babied and garaged all the time. It's got some scratches, paint is not perfect, but zero body damage.",0.4,9.738079247817327,11,619,1.0,True,True
train_00007,train,housing,1895.0,1743.0,1895.0,Beautiful Renovated Studio with Balcony by Lake Merritt,"This beautiful remodeled studio offers:,Refinished hardwood floors,Great studio layout with sleeping area,Brand new kitchen with stainless steel appliances,Private balcony with Oakland views,Brand new bathroom with incredible lighting",0.08021108179419525,0.8422222222222222,8,234,1.0,True,True
train_00008,train,vehicles,8800.0,6688.0,8800.0,2007 Mazda cx-9,2007 Mazda cx-9 2wheel drive. Truck has 138k miles. Did all brakes and rotors all around also just did tune up and transmission flush a week ago. Clean title. Also come with 22 inch rims and stock tires.,0.24,5.910006715916722,3,203,1.0,True,True
train_00009,train,vehicles,26800.0,24656.0,26800.0,2016 mercedes benz c300,"Im selling 2016 Mercedes Benz C300 1OWNER Automatic,Fully Loaded,",0.08,17.998656816655473,4,65,1.0,True,True
